Document Type,Data Elements,Group Number,Datapoint Order
Appraisal Report,SUPERVISORY APPRAISER STATE LICENSE # OR STATE CERTIFICATION #,5,6
Appraisal Report,EFFECTIVE DATE OF APPRAISAL,4,8
Appraisal Report,APPRAISER LICENCE TYPE,5,3
Appraisal Report,APPRAISER STATE LICENSE #,5,5
Appraisal Report,PROPERTY ADDRESS STATE,1,4
Appraisal Report,APPRAISER STATE CERTIFICATION #,5,4
Appraisal Report,PROPERTY ADDRESS CITY,1,3
Appraisal Report,APPRAISER COMPANY NAME,5,1
Appraisal Report,APPRAISER FULL NAME,5,2
Appraisal Report,TOTAL NUMBER OF UNITS SOLD,4,3
Appraisal Report,TOTAL NUMBER OF UNITS,4,2
Appraisal Report,PROJECT NAME,5,7
Appraisal Report,APPRAISAL AMOUNT,4,1
Appraisal Report,PROPERTY ADDRESS LINE 1,1,1
Appraisal Report,PROPERTY VALUATION CONDITIONAL CONCLUSION,5,13
Appraisal Report,NUMBER OF BEDROOMS,4,9
Appraisal Report,YEAR BUILT,4,5
Appraisal Report,PROPERTY ADDRESS LINE 2,1,2
Appraisal Report,ATTACHMENT TYPE,4,7
Appraisal Report,LIVING UNIT COUNT,5,12
Appraisal Report,PROPERTY ACREAGE NUMBER,5,11
Appraisal Report,OWNERSHIP INTEREST,4,6
Appraisal Report,PUD INDICATOR,5,10
Appraisal Report,PROPERTY VALUATION FORM TYPE,5,9
Appraisal Report,PROPERTY ADDRESS COUNTY,1,6
Appraisal Report,PROPERTY ADDRESS ZIPCODE,1,5
Appraisal Report,DOCUMENT FORM ISSUING ENTITY NUMBER IDENTIFIER,5,8
Appraisal Report,PROPERTY VALUATION METHOD TYPE,36,1
Appraisal Report,BORROWER LAST NAME,100,2
Appraisal Report,NUMBER OF BATHROOMS,36,1
Appraisal Report,TOTAL ROOM TYPE SUMMARY COUNT,36,2
Appraisal Report,CONSTRUCTION METHOD TYPE,36,1
Appraisal Report,PROPERTY VALUATION EFFECTIVE DATE,36,1
Appraisal Report,OVERALL CONDITION RATING IDENTIFIER,36,1
Appraisal Report,BORROWER FIRST NAME,100,1
Appraisal Report,BORROWER FULL NAME,100,3
Appraisal Report,BORROWER SUFFIX NAME,100,5
Appraisal Report,BORROWER MIDDLE NAME,100,4
Appraisal Report,OVERALL QUALITY RATING IDENTIFIER,36,2
