,Data Elements
0,PROPERTY ADDRESS STATE
1,PROPERTY ADDRESS CITY
2,PROPERTY ADDRESS LINE 1
3,PROPERTY ADDRESS LINE 2
4,PROPERTY ADDRESS COUNTY
5,PROPERTY ADDRESS ZIPCODE
6,EFFECTIVE DATE OF APPRAISAL
7,TOTAL NUMBER OF UNITS SOLD
8,TOTAL NUMBER OF UNITS
9,APPRAISAL AMOUNT
10,NUMBER OF BEDROOMS
11,YEAR BUILT
12,ATTACHMENT TYPE
13,OWNERSHIP INTEREST
14,SUPERVISORY APPRAISER STATE LICENSE # OR STATE CERTIFICATION #
15,APPRAISER LICENCE TYPE
16,APPRAISER STATE LICENSE #
17,APPRAISER STATE CERTIFICATION #
18,APPRAISER COMPANY NAME
19,APPRAISER FULL NAME
20,PROJECT NAME
21,PROPERTY VALUATION CONDITIONAL CONCLUSION
22,LIVING UNIT COUNT
23,PROPERTY ACREAGE NUMBER
24,PUD INDICATOR
25,PROPERTY VALUATION FORM TYPE
26,DOCUMENT FORM ISSUING ENTITY NUMBER IDENTIFIER
27,PROPERTY VALUATION METHOD TYPE
28,NUMBER OF BATHROOMS
29,TOTAL ROOM TYPE SUMMARY COUNT
30,CONSTRUCTION METHOD TYPE
31,PROPERTY VALUATION EFFECTIVE DATE
32,OVERALL CONDITION RATING IDENTIFIER
33,OVERALL QUALITY RATING IDENTIFIER
34,BORROWER LAST NAME
35,BORROWER FIRST NAME
36,BORROWER FULL NAME
37,BORROWER SUFFIX NAME
38,BORROWER MIDDLE NAME
