Document Type,Data Elements,Group Number,Datapoint Order
W2,MEDICARE WAGES AND TIPS,4,5
W2,SOCIAL SECURITY NUMBER,1,2
W2,EMPLOYER NAME,2,1
W2,"WAGES, TIPS, OTHER COMPENSATION",4,1
W2,FIRST NAME,3,1
W2,LAST NAME,3,2
W2,FORM YEAR,1,1
W2,EMPLOYER ADDRESS LINE 1,2,2
W2,EMPLOYER CITY,2,3
W2,EMPLOYER STATE,2,4
W2,EMPLOYER ZIPCODE,2,5
W2,LOCAL WAGES AND TIPS,5,4
W2,SOCIAL SECURITY WAGES,4,3
W2,SOCIAL SECURITY TAX WITHHELD,4,4
W2,SOCIAL SECURITY TIPS,4,7
W2,EMPLOYER IDENTIFICATION NUMBER (EIN),2,1
W2,MEDICARE TAX WITHHELD,4,6
W2,FEDERAL INCOME TAX WITHHELD,4,2
W2,ALLOCATED TIPS,4,8
W2,DEPENDENT CARE BENEFITS,4,9
W2,EMPLOYEE ADDRESS LINE 1,3,3
W2,EMPLOYEE CITY,3,4
W2,EMPLOYEE STATE,3,5
W2,EMPLOYEE ZIPCODE,3,6
W2,FORM STATE,5,1
W2,EMPLOYER STATE ID NUMBER,5,2
W2,STATE WAGES AND TIPS,5,3
