Document Type,Data Elements,Group Number,Datapoint Order
Credit Report,CREDIT CARD ACCOUNT NUMBER,1,1
Credit Report,BORROWER SUFFIX NAME,74,1
Credit Report,BORROWER MIDDLE NAME,74,2
Credit Report,BORROWER FIRST NAME,74,3
Credit Report,BORROWER LAST NAME,74,4
Credit Report,BORROWER FULL NAME,74,5
Credit Report,CREDIT REQUEST DATE/TIME,2,2
Credit Report,BORROWER EQUIFAX SCORE,74,7
Credit Report,BORROWER EXPERIAN SCORE,74,8
Credit Report,BORROWER TRANSUNION SCORE,74,9
Credit Report,CREDIT BUREAU NAME,2,3
Credit Report,BORROWER TAX PAYER IDENTIFIER TYPE VALUE,74,11
Credit Report,BORROWER TAX PAYER IDENTIFIER TYPE,74,12
